Algorithm,Run,TimeTaken,Cost,Reward,ConvergencePoint,Path
IDA*,1,0.00015780003741383553,6,1,15,"[0, 1, 2, 3, 7, 11, 15]"
IDA*,2,6.880000000819564e-05,6,1,15,"[0, 1, 2, 3, 7, 11, 15]"
IDA*,3,5.2099989261478186e-05,6,1,15,"[0, 1, 2, 3, 7, 11, 15]"
IDA*,4,4.2899977415800095e-05,6,1,15,"[0, 1, 2, 3, 7, 11, 15]"
IDA*,5,5.110003985464573e-05,6,1,15,"[0, 1, 2, 3, 7, 11, 15]"
IDA*,6,5.9500045608729124e-05,6,1,15,"[0, 1, 2, 3, 7, 11, 15]"
IDA*,7,5.2499992307275534e-05,6,1,15,"[0, 1, 2, 3, 7, 11, 15]"
IDA*,8,9.090005187317729e-05,6,1,15,"[0, 1, 2, 3, 7, 11, 15]"
IDA*,9,0.0001849000109359622,6,1,15,"[0, 1, 2, 3, 7, 11, 15]"
IDA*,10,0.00012859998969361186,6,1,15,"[0, 1, 2, 3, 7, 11, 15]"
